Etiqueta;Servicio;Respuesta
Registro;FEL;Puedes_ingresar_a_Fondo_en_Línea-Personas_con_tu_usuario_y_clave_de_servicios_a_través_del_siguiente_enlace:_-----_~3._u_Si_no_tienes_clave_de_servicios,_no_la_recuerdas_o_la_tienes_bloqueada,_solicítala_o_restablécela_allí_mismo._Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Usuario FEL;FEL;Puedes_ingresar_a_Fondo_en_Línea-Personas_con_tu_usuario_y_clave_de_servicios_a_través_del_siguiente_enlace:_-----_~4._u_Si_no_tienes_clave_de_servicios,_no_la_recuerdas_o_la_tienes_bloqueada,_solicítala_o_restablécela_allí_mismo._Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Retiro AVC;AVC;Para_realizar_el_retiro_de_tu_Ahorro_Voluntario_debes_seguir_los_pasos_que_encontrarás_en_el_siguiente_link:_-----_~5
Pago AVC;AVC;Puedes_realizar_el_pago_de_tus_obligaciones_o_cuota_de_ahorro_con_el_FNA,_a_través_del_siguiente_link:_-----_~6,__También_puedes_hacer_tus_pagos_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_en_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei).
Cuota AVC;AVC;La_información_acerca_de_la_cuota_de_tu_cuenta_AVC_puedes_consultarla_en_el_siguiente_link:_-----_~7
Afiliacion AVC;AVC;Todo_el_proceso_de_Afiliaciones_digitales_puedes_encontrarlo_en_el_siguiente_link:_-----_~8
Certificado AVC;AVC;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_~9,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Puntaje AVC;AVC;Para_consultar_el_puntaje_de_tus_productos_en_el_FNA_puedes_hacerlo__ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_/1._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Saldo AVC;AVC;Con_tu_usuario_y_clave_puedes_conocer_los_extractos,_saldos_y_certificados_de_tus_Cesantías,_Ahorro_Voluntario_y_productos_de_crédito_ingresando_a_Fondo_en_Línea-Personas_en_el_siguiente_enlace:_-----_/2,_ó_a_través_de_la_app_'FNA_Móvil_Ágil'._Descárgala_sin_costo_en_tiendas_Google_Play_(Android),_App_Store_(IOS)_y_App_Gallery_(Huawei)._u_Recuerda_que_tu_usuario_es_tu_número_de_documento_de_identidad.
Formulario retiro AVC;AVC;Si_deseas_conocer_el_formulario_para_el_retiro_de_AVC,_ingresa_al_siguiente_link:_-----_/3
